,reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt
0,gp:AOqpTOEIHjXJ5kLLlouNtKqo-VI4XVK1UrxZnPYhbW7SY88t3BVinVQarl5z7XLtfuDiFDS03rRwqfJpRHwHAw,Sueda Kara,https://play-lh.googleusercontent.com/-n4HdiiyNsnE/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnl6XV5BvSow5N19-gSwcAFTAnWZw/photo.jpg,Sırf Harry styles için indirdim başka bi sebebi yok .onun dışında herşey de üyelik istiyo para vermeniz gerekiyo yani. Onun dışında iyi .,5,49,5.6,2020-10-26 10:41:31,,
1,gp:AOqpTOHgCe-vGBqqRzj2C5Icfb2qPeJwTA_9Hjd3wfb2LpQ6wPaGjWdjl5Jus2du5glOJOfvAXckRj2WuHX52g,Wow tv,https://play-lh.googleusercontent.com/a-/AOh14GjgfPkjohJ36WW2z8gZr-s3-00gAUhTft_F7wcanQ,Super uygulama bence,5,7,5.6,2020-10-23 19:06:23,,
2,gp:AOqpTOFXDN6Mp4bEUXb9S5rokGWMfZZbSWN4axqD4cWfXX-nltm9O4Ax15kbcn7l3bB-gsTHkVR3BcPr6M2yTw,ömer faruk özen,https://play-lh.googleusercontent.com/a-/AOh14GiU25rhh9gObO6_CyBRe6c3ocA0etg9_V4T_xnIHtc,Ileri düzey İngilizce bilenler için çok güzel bir uygulama.,5,0,,2021-02-08 01:50:29,,
3,gp:AOqpTOHDMr8KacOOWQP0H74d7CVssyAZ6NixRQKOzpLz88-NqI1rKCDN4XtPJNkg0VCs0UsmfgNRf-hPxMRAzA,Buğra Torun,https://play-lh.googleusercontent.com/-n1C1SOeO8oA/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmcEtbnlU_OulyJRAXoLVAZcsT97w/photo.jpg,"Freemium mantığında, çok az bedava içerik var ancak bu kadarıyla bile üyelik satın aldığınızda neler yapabileceğini gösteriyor. Eğer efor sarfetmeyi göze alabilirseniz, ilk haftadan itibaren meditasyonun yararlarını görebiliyorsunuz",5,37,4.20,2020-02-29 07:19:44,,
4,gp:AOqpTOHhMMGZePv_gIcjApBCyzhYTOXNs6Md1RHme4-8Y8yFeFnBYzSGtURtMD8Z-Wis6q4Z9ztENX3I7GZeAg,Geyser's Deep,https://play-lh.googleusercontent.com/-uVDOWKZZx8s/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmuNkqd9S-hzVI8grt6bUEufsKsLQ/photo.jpg,Teknikler tam olması gerektiği yeri buluyor. Meditasyonun tüm iyi yönlerini toplamış ve saçma uygulamalarını dışarda bırakmışlar. Bence mükemmel.,5,21,4.17,2019-12-11 16:14:42,,
5,gp:AOqpTOFrIW0_j6qjGYapJJEg8l4LgaK_saDcSMZgg-o_w-AbUEu4BMWqFB9SoOR1iegbvrsEPuw-zv7xLG-1Bg,Hatice Sayıcı,https://play-lh.googleusercontent.com/-dQR1siHOGu4/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnvE0-IxgPkAI26v42eP4m6C3bCnA/photo.jpg,Harika bir uygulama zaten türkçe ye gerek yok ingilizceyi geliştirelim yeter. O yüzden 5 yıldız veriyorum.,5,2,4.4.1,2020-02-27 12:41:38,,
6,gp:AOqpTOFsRYSmgLI8DTqehEHT_jyvuhJjYNyGoYF9O0-SacTx83WsBlf9PwaSGoJjoyjiehnbMzHegdnOwjL_Qw,Murat Şevki,https://play-lh.googleusercontent.com/a-/AOh14GjfUgz1pSezzykSNBTYBL-8uYwHTuyYb7thKhAWig,"Müthiş bir şey gözünüzü kapatın, seslere odaklanın. Kendinizi o atmosfere bırakın huzuru bulacaksınız.",5,8,,2019-03-29 22:50:51,,
7,gp:AOqpTOERBXVPVYYdbeWm3NRiS2IvJ6zYmMtgIWyUzWWdQ8J41mWNjMtxmQrsaPAeYOtZo2G4ntVPZrdMubsKoQ,ece çolak,https://play-lh.googleusercontent.com/a-/AOh14GgQj8xXwMjD4Ie90B5v7l1lLP_aR8RzzMsm5W0kZXk,herkesin mutlaka sahip olması gereken bir uygulama. verilen her kuruşu hakediyor,5,15,4.28,2020-06-30 23:52:45,,
8,gp:AOqpTOFBd4gXorTi5dkmrqhHnaBDCGOVli2zGpGA3j0HckdtumbVdT_kZiYplDDDvMWIWc6snjP9svcwgyA3xw,Baran Çekim,https://play-lh.googleusercontent.com/-3xhMWjX7dn8/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucle_uwUGEpfK6_hKH24XFSqVB3gYw/photo.jpg,"Ben Umutcan Neşet Ölçer, gerçekten inanılmaz bir uygulama, hayatımı değiştirdi!",5,23,4.22,2020-03-27 00:52:25,,
9,gp:AOqpTOHYGyWv6ep3J12W0O_QNHM4H5GUd1TTANZD8GnOPvtuFCgNuFqZ4iGqhVp_wiUmYxm1TgKst8hOCehIjg,İlkay Bilen,https://play-lh.googleusercontent.com/a-/AOh14Gi7fM8e7Z_ZNe4BB-B4XwaRlDJbwEsMCBGsB7F0kA,Türkçe dil Desteği Yokk,5,0,,2020-12-19 01:02:55,,
